ano;idade;genero;inde_22;inde_23;inde_24;iaa;ieg;ips;ida;ipv;ian;ipp;fase_ideal;defasagem;risco
2022;19;0;5.78;;;8.3;4.1;5.6;4.0;7.28;5.0;;8;-1;1
2022;17;0;7.06;;;8.8;5.2;6.3;6.8;6.78;10.0;;7;0;0
2022;17;0;6.59;;;0.0;7.9;5.6;5.6;7.56;10.0;;7;0;0
2022;17;1;5.95;;;8.8;4.5;5.6;5.0;5.28;10.0;;7;0;0
2022;17;0;7.43;;;7.9;8.6;5.6;5.2;7.39;10.0;;7;0;0
2022;18;0;5.85;;;7.9;4.5;7.5;3.3;7.22;5.0;;8;-1;1
2022;18;1;6.82;;;0.0;8.4;7.5;7.6;7.67;5.0;;8;-1;1
2022;20;0;4.79;;;7.1;4.6;6.3;1.6;6.28;5.0;;8;-1;1
2022;18;0;8.11;;;8.8;9.5;7.5;6.7;9.5;5.0;;8;-1;1
2022;18;0;5.78;;;8.3;5.2;5.0;4.1;7.06;5.0;;8;-1;1
2022;18;0;5.32;;;9.2;4.2;5.0;3.0;6.39;5.0;;8;-1;1
2022;17;0;4.83;;;0.0;4.0;6.9;1.5;6.39;10.0;;7;0;0
2022;18;1;6.9;;;7.9;7.4;7.5;4.7;8.06;5.0;;8;-1;1
2022;21;1;6.79;;;7.9;8.3;7.5;4.0;7.75;5.0;;8;-1;1
2022;18;1;7.78;;;8.8;10.0;7.5;7.3;7.29;5.0;;8;-1;1
2022;19;1;6.11;;;7.9;8.3;5.0;3.5;6.33;5.0;;8;-1;1
2022;20;1;8.07;;;8.8;10.0;7.5;7.8;8.29;5.0;;8;-1;1
2022;19;1;7.23;;;6.3;8.7;6.3;9.0;6.88;5.0;;8;-1;1
2022;19;0;7.66;;;7.9;9.5;7.5;8.0;7.0;5.0;;8;-1;1
2022;19;0;7.54;;;7.1;10.0;6.3;7.8;7.17;5.0;;8;-1;1
2022;18;1;6.94;;;9.6;9.2;7.5;3.8;7.25;5.0;;8;-1;1
2022;17;0;7.47;;;8.3;7.4;8.1;6.7;8.83;5.0;;7;-1;1
2022;17;1;7.68;;;8.3;8.2;8.1;6.7;8.56;5.0;;7;-1;1
2022;17;0;8.09;;;9.2;7.9;6.9;8.6;9.11;5.0;;7;-1;1
2022;17;0;7.98;;;8.3;8.3;8.8;6.9;9.67;5.0;;7;-1;1
2022;17;1;8.68;;;9.6;8.8;10.0;8.0;10.0;5.0;;7;-1;1
2022;17;1;7.12;;;0.0;7.6;8.1;8.0;9.11;5.0;;7;-1;1
2022;17;0;6.24;;;7.9;6.1;7.5;5.0;6.33;5.0;;7;-1;1
2022;17;1;4.99;;;0.0;4.0;8.8;3.7;7.61;5.0;;7;-1;1
2022;16;0;7.6;;;8.8;6.4;7.5;7.5;7.33;10.0;;6;0;0
2022;17;0;8.84;;;10.0;9.5;9.4;8.0;10.0;5.0;;7;-1;1
2022;16;0;7.37;;;8.8;5.2;8.8;6.1;7.94;10.0;;6;0;0
2022;17;0;4.95;;;0.0;4.6;7.5;4.8;6.0;5.0;;7;-1;1
2022;17;1;6.26;;;9.6;4.8;8.1;3.8;7.28;5.0;;7;-1;1
2022;17;0;8.96;;;10.0;9.6;9.4;8.5;10.0;5.0;;7;-1;1
2022;17;0;7.88;;;9.2;9.0;6.9;6.8;8.94;5.0;;7;-1;1
2022;17;0;4.95;;;0.0;5.4;5.0;5.9;5.22;5.0;;7;-1;1
2022;17;0;8.52;;;9.2;8.9;7.5;8.6;9.83;5.0;;7;-1;1
2022;16;0;6.03;;;0.0;4.8;6.9;6.9;6.11;10.0;;6;0;0
2022;16;0;7.2;;;7.9;7.8;7.5;6.8;7.75;5.0;;6;-1;1
2022;17;1;5.58;;;9.2;6.1;5.0;5.6;4.38;5.0;;7;-2;1
2022;15;1;6.72;;;8.3;7.9;5.6;4.8;6.08;10.0;;5;0;0
2022;16;0;5.49;;;6.3;6.5;5.6;4.3;5.96;5.0;;6;-1;1
2022;17;0;5.54;;;5.0;5.9;7.5;3.0;7.29;5.0;;7;-2;1
2022;15;0;7.59;;;7.9;8.9;5.6;6.8;7.42;10.0;;5;0;0
2022;17;0;6.05;;;8.8;8.4;6.3;2.1;7.08;5.0;;7;-2;1
2022;17;0;5.68;;;7.9;6.3;7.5;2.1;7.04;5.0;;7;-2;1
2022;15;0;8.01;;;6.7;8.4;7.5;8.1;8.5;10.0;;5;0;0
2022;17;0;6.3;;;7.5;7.4;7.5;3.9;7.04;5.0;;7;-2;1
2022;18;0;7.14;;;7.5;8.4;7.5;7.8;7.54;2.5;;8;-3;1
2022;17;0;6.49;;;8.8;7.6;7.5;5.0;6.5;5.0;;7;-2;1
2022;13;1;7.86;;;9.6;8.9;7.5;6.2;7.5;10.0;;3;2;0
2022;17;1;6.72;;;9.2;7.0;7.5;7.0;6.46;5.0;;7;-2;1
2022;16;0;6.06;;;7.9;6.9;7.5;4.8;6.12;5.0;;6;-1;1
2022;16;0;6.58;;;7.1;7.6;5.6;7.5;6.5;5.0;;6;-1;1
2022;15;0;8.4;;;10.0;10.0;7.5;7.0;8.25;10.0;;5;0;0
2022;16;1;7.3;;;7.1;8.1;5.6;8.4;7.88;5.0;;6;-1;1
2022;15;1;8.14;;;9.6;9.2;6.3;7.2;8.12;10.0;;5;0;0
2022;17;1;7.64;;;9.2;9.3;7.5;7.2;7.92;5.0;;7;-2;1
2022;18;0;5.54;;;6.7;6.0;7.5;4.9;6.17;2.5;;8;-3;1
2022;15;1;7.53;;;9.2;7.4;7.5;5.8;7.88;10.0;;5;0;0
2022;17;1;7.89;;;8.8;9.4;7.5;9.3;7.25;5.0;;7;-2;1
2022;16;1;8.28;;;8.3;9.1;8.8;8.7;9.42;5.0;;6;-1;1
2022;16;1;7.37;;;7.1;8.1;8.1;7.5;8.25;5.0;;6;-1;1
2022;17;0;7.71;;;8.3;7.7;7.5;9.3;7.88;5.0;;7;-2;1
2022;17;0;5.66;;;7.5;5.6;7.5;4.5;5.92;5.0;;7;-2;1
2022;16;0;5.2;;;5.8;3.0;7.5;3.6;6.89;5.0;;6;-1;1
2022;16;1;6.44;;;8.3;6.0;7.5;4.0;7.94;5.0;;6;-1;1
2022;16;1;5.72;;;8.3;6.1;7.5;2.5;6.17;5.0;;6;-1;1
2022;16;0;5.71;;;8.8;6.6;5.0;2.9;6.11;5.0;;6;-1;1
2022;17;0;4.33;;;7.9;2.0;7.5;1.2;5.83;5.0;;7;-2;1
2022;17;0;7.64;;;8.3;7.5;7.5;7.8;8.67;5.0;;7;-2;1
2022;17;0;5.27;;;7.1;3.0;7.5;3.3;7.28;5.0;;7;-2;1
2022;16;1;4.99;;;9.6;3.3;7.5;2.0;5.83;5.0;;6;-1;1
2022;16;0;3.92;;;5.4;3.8;6.3;0.0;4.62;5.0;;6;-1;1
2022;15;0;9.1;;;10.0;9.1;8.1;8.7;9.29;10.0;;5;0;0
2022;16;1;3.85;;;7.1;2.7;5.0;0.7;4.62;5.0;;6;-1;1
2022;17;1;7.04;;;8.3;6.6;5.6;7.2;8.0;5.0;;7;-2;1
2022;16;0;6.85;;;5.4;6.3;5.6;8.9;7.29;5.0;;6;-1;1
2022;16;0;7.29;;;9.2;8.3;5.0;7.1;7.62;5.0;;6;-1;1
2022;14;0;7.68;;;9.2;9.2;5.0;6.0;7.46;10.0;;4;1;0
2022;17;0;6.6;;;8.8;6.8;7.5;5.5;6.42;5.0;;7;-2;1
2022;17;0;6.67;;;7.9;6.8;7.5;6.8;5.96;5.0;;7;-2;1
2022;17;0;6.68;;;7.1;8.8;5.0;5.8;6.75;5.0;;7;-2;1
2022;15;1;6.24;;;6.7;7.3;5.0;4.3;5.83;10.0;;5;0;0
2022;16;1;7.57;;;7.5;9.6;5.6;6.7;8.46;5.0;;6;-1;1
2022;15;1;8.71;;;8.3;9.6;7.5;8.8;8.5;10.0;;5;0;0
2022;17;1;7.5;;;7.1;9.2;5.6;6.5;9.21;5.0;;7;-2;1
2022;16;1;7.32;;;9.6;7.8;7.5;5.9;8.0;5.0;;6;-1;1
2022;13;0;9.44;;;10.0;9.7;9.4;8.5;9.75;10.0;;3;2;0
2022;16;0;6.64;;;9.2;5.7;5.6;6.6;7.12;5.0;;6;-1;1
2022;16;0;6.96;;;9.2;7.1;5.0;7.4;6.67;5.0;;6;-1;1
2022;15;0;8.94;;;8.3;9.7;8.1;8.5;9.08;10.0;;5;0;0
2022;15;0;8.92;;;8.3;9.6;8.1;7.7;9.58;10.0;;5;0;0
2022;17;0;6.31;;;8.3;6.6;7.5;4.8;6.29;5.0;;7;-2;1
2022;16;1;7.54;;;9.2;7.8;6.9;6.7;8.5;5.0;;6;-1;1
2022;15;0;7.47;;;7.5;8.8;5.0;6.9;6.29;10.0;;5;0;0
2022;15;0;9.35;;;8.8;10.0;9.4;8.5;9.67;10.0;;5;0;0
2022;16;1;6.16;;;8.8;6.3;7.5;5.0;5.83;5.0;;6;-1;1
2022;13;0;7.62;;;8.8;7.8;5.0;7.6;7.25;10.0;;3;1;0
2022;15;0;7.3;;;7.9;8.3;7.5;7.6;6.83;5.0;;5;-1;1
2022;14;1;6.92;;;6.7;7.7;6.9;5.7;6.0;10.0;;4;0;0
2022;13;0;8.11;;;7.9;8.7;7.5;7.3;7.71;10.0;;3;1;0
2022;18;1;6.32;;;7.9;8.7;7.5;3.7;6.71;2.5;;8;-4;1
2022;17;1;6.85;;;7.9;8.2;5.6;6.7;7.42;2.5;;7;-3;1
2022;15;0;7.97;;;9.2;8.0;9.4;7.4;8.38;5.0;;5;-1;1
2022;15;0;6.26;;;7.5;6.4;7.5;4.6;6.5;5.0;;5;-1;1
2022;17;0;5.55;;;4.6;7.7;5.0;5.0;6.12;2.5;;7;-3;1
2022;16;1;8.51;;;8.8;10.0;8.8;8.4;8.67;5.0;;6;-2;1
2022;14;1;8.15;;;9.2;9.7;5.6;6.7;8.0;10.0;;4;0;0
2022;13;0;8.65;;;7.5;9.4;8.1;8.0;8.67;10.0;;3;1;0
